,Item,Data_do_lancamento,Entradas_Qtd,Entradas_Valor,Saidas_Qtd,Saidas_Valor,Saldo_Inicial_Qtd,Saldo_Inicial_Valor,Saldo_Final_Qtd,Saldo_Final_Valor
0,81.30.019-4,01/08/2012,"0,0","0,0","144,0","2018,53","2090,0","29296,57","1946,0","27278,04"
1,82.10.355-4,01/08/2012,"0,0","0,0","366,6561000000001","4278,65","3187,0","37093,87","2820,3439","32815,22"
2,82.70.372-1,01/08/2012,"1496,0","12016,05","2391,2646999999997","19206,879999999997","29940,0","239738,95","29044,7353","232548,12"
3,82.53.405-9,01/08/2012,"6989,64","31897,850000000002","7232,838000000001","33007,71","15716,0677","71403,56","15472,8697","70293,70000000001"
4,82.53.475-0,01/08/2012,"2812,95","7010,15","4018,249","10013,869999999999","26685,59","65727,15","25480,291","62723,42999999999"
5,82.60.353-0,01/08/2012,"0,0","0,0","234,0","1519,9400000000003","6199,0","40155,46","5965,0","38635,52"
6,82.63.660-9,01/08/2012,"586,72","6119,360000000001","1059,3932","11049,240000000002","3469,0921","36500,18","2996,4189","31570,3"
7,82.81.160-5,01/08/2012,"1757,25","3667,47","2632,4700000000003","5494,1799999999985","17407,3419","36335,07","16532,1219","34508,36"
8,62.51.311-0,01/08/2012,"0,0","0,0","52,0","5230,569999999999","1238,0","126920,51","1186,0","121689,94"
9,63.41.311-9,01/08/2012,"54,0","4109,66","0,0","0,0","812,0","63834,04","866,0","67943,7"
10,66.31.174-0,01/08/2012,"0,0","0,0","3,0","284,19","279,0","27225,37","276,0","26941,18"
11,69.51.202-0,01/08/2012,"57,0","16191,17","5,0","1433,56","212,0","61695,1","264,0","76452,71"
12,71.15.272-3,01/08/2012,"0,0","0,0","5,0","1197,02","115,0","28158,84","110,0","26961,82"
13,74.62.201-1,01/08/2012,"0,0","0,0","1,0","1365,02","7,0","9695,39","6,0","8330,369999999999"
14,10.01.206-6,01/08/2012,"0,0","0,0","1217,2248","2399,32","4336,7272","8238,98","3119,5024000000003","5839,66"
15,47.11.014-9,01/08/2012,"0,0","0,0","372,0","286,67","5668,0","17669,48","5296,0","17382,81"
16,JVB-301-01,01/08/2012,"0,0","0,0","98,0","601,4300000000001","1669,0","10654,2","1571,0","10052,77"
17,41.01.053-3,01/08/2012,"0,0","0,0","52,0","6,23","26382,0","3157,55","26330,0","3151,32"
18,41.02.051-2,01/08/2012,"9000,0","641,16","7940,0","571,4099999999996","70084,0","5333,46","71144,0","5403,21"
19,41.26.232-0,01/08/2012,"0,0","0,0","154,0","2975,48","593,0","11562,94","439,0","8587,460000000001"
20,41.67.008-8,01/08/2012,"354,0","1183,34","806,0","2691,7200000000003","6395,0","21283,82","5943,0","19775,44"
21,81.30.019-4,02/08/2012,"150,0","2102,63","212,0","2971,7200000000003","1946,0","27278,04","1884,0","26408,95"
22,82.10.355-4,02/08/2012,"576,0","6721,61","886,6285","10346,470000000001","2820,3439","32815,22","2509,7154","29190,36"
23,82.70.372-1,02/08/2012,"748,0","6008,03","1814,5709000000002","14574,849999999999","29044,7353","232548,12","27978,1644","223981,3"
24,82.53.475-0,02/08/2012,"0,0","0,0","1361,4206","3392,78","25480,291","62723,42999999999","24118,8704","59330,649999999994"
25,82.60.353-0,02/08/2012,"250,0","1623,84","506,0","3286,6800000000003","5965,0","38635,52","5709,0","36972,67999999999"
26,82.63.660-9,02/08/2012,"314,86","3283,92","451,3432","4707,42","2996,4189","31570,3","2859,9357","30146,800000000003"
27,82.81.160-5,02/08/2012,"1171,5","2444,98","3074,240599999999","6416,040000000001","16532,1219","34508,36","14629,3813","30537,300000000003"
28,61.21.107-1,02/08/2012,"0,0","0,0","2,0","381,07","344,0","66516,91","342,0","66135,84"
29,62.51.311-0,02/08/2012,"121,0","11899,36","48,0","4828,25","1186,0","121689,94","1259,0","128761,04999999999"
30,63.41.311-9,02/08/2012,"0,0","0,0","19,0","1469,47","866,0","67943,7","847,0","66474,23"
31,66.31.174-0,02/08/2012,"0,0","0,0","9,0","852,57","276,0","26941,18","267,0","26088,61"
32,69.51.202-0,02/08/2012,"72,0","20451,93","28,0","8027,940000000001","264,0","76452,71","308,0","88876,70000000001"
33,71.15.272-3,02/08/2012,"0,0","0,0","8,0","1915,24","110,0","26961,82","102,0","25046,579999999998"
34,74.62.201-1,02/08/2012,"0,0","0,0","1,0","1365,02","6,0","8330,369999999999","5,0","6965,3499999999985"
35,76.26.200-4,02/08/2012,"0,0","0,0","2,0","574,34","216,0","62772,55","214,0","62198,21000000001"
36,77.33.242-1,02/08/2012,"0,0","0,0","7,0","5435,849999999999","165,0","128684,67","158,0","123248,81999999999"
37,10.01.206-6,02/08/2012,"881,8257","1749,45","1488,5523","2934,1499999999996","3119,5024000000003","5839,66","2512,7758000000003","4654,96"
38,47.05.018-9,02/08/2012,"231,0","3038,8799999999997","0,0","0,0","12,0","160,5","243,0","3199,3799999999997"
39,47.11.014-9,02/08/2012,"0,0","0,0","476,0","339,22","5296,0","17382,81","4820,0","17043,59"
40,JVB-301-01,02/08/2012,"0,0","0,0","434,0","2663,38","1571,0","10052,77","1137,0","7389,39"
41,41.01.053-3,02/08/2012,"0,0","0,0","60,0","7,1899999999999995","26330,0","3151,32","26270,0","3144,13"
42,41.02.051-2,02/08/2012,"6000,0","427,44","6145,0","442,17","71144,0","5403,21","70999,0","5388,48"
43,41.26.232-0,02/08/2012,"0,0","0,0","143,0","2762,96","439,0","8587,460000000001","296,0","5824,500000000001"
44,41.67.008-8,02/08/2012,"0,0","0,0","1426,0","4762,26","5943,0","19775,44","4517,0","15013,179999999998"
45,81.30.019-4,03/08/2012,"100,0","1401,75","213,0","2985,74","1884,0","26408,95","1771,0","24824,96"
46,82.10.355-4,03/08/2012,"576,0","6721,61","959,8447","11200,89","2509,7154","29190,36","2125,8707","24711,08"
47,82.70.372-1,03/08/2012,"0,0","0,0","1018,8485000000001","8183,500000000002","27978,1644","223981,3","26959,3159","215797,8"
48,82.53.405-9,03/08/2012,"6010,2","27326,65","0,0","0,0","15472,8697","70293,70000000001","21483,0697","97620,35"
49,82.53.475-0,03/08/2012,"3928,2599999999998","9955,0","426,6779","1063,33","24118,8704","59330,649999999994","27620,4525","68222,31999999999"
50,82.60.353-0,03/08/2012,"1000,0","6495,34","1220,0","7924,34","5709,0","36972,67999999999","5489,0","35543,67999999999"
51,82.63.660-9,03/08/2012,"916,7488999999999","9561,49","1408,2968999999998","14688,22","2859,9357","30146,800000000003","2368,3877","25020,07"
52,82.81.160-5,03/08/2012,"2343,0","4889,96","3422,7886","7143,52","14629,3813","30537,300000000003","13549,592700000001","28283,74"
53,61.21.107-1,03/08/2012,"85,0","15938,3","3,0","571,62","342,0","66135,84","424,0","81502,52"
54,62.51.311-0,03/08/2012,"83,0","8162,37","66,0","6638,789999999999","1259,0","128761,04999999999","1276,0","130284,62999999999"
55,63.41.311-9,03/08/2012,"0,0","0,0","34,0","2629,59","847,0","66474,23","813,0","63844,64"
56,66.31.174-0,03/08/2012,"63,0","5899,95","5,0","473,65000000000003","267,0","26088,61","325,0","31514,91"
57,69.51.202-0,03/08/2012,"11,0","3124,61","12,0","3440,6000000000004","308,0","88876,70000000001","307,0","88560,71"
58,70.25.162-0,03/08/2012,"0,0","0,0","5,0","1060,94","330,0","71080,7","325,0","70019,76"
59,71.15.272-3,03/08/2012,"0,0","0,0","9,0","2154,65","102,0","25046,579999999998","93,0","22891,929999999997"
60,74.62.201-1,03/08/2012,"0,0","0,0","2,0","2730,04","5,0","6965,3499999999985","3,0","4235,309999999999"
61,76.26.200-4,03/08/2012,"0,0","0,0","16,0","4594,82","214,0","62198,21000000001","198,0","57603,39000000001"
62,77.33.242-1,03/08/2012,"9,0","6923,25","1,0","776,55","158,0","123248,81999999999","166,0","129395,51999999999"
63,10.01.206-6,03/08/2012,"0,0","0,0","788,8176","1554,8799999999999","2512,7758000000003","4654,96","1723,9582000000005","3100,08"
64,47.05.018-9,03/08/2012,"100,0","1315,53","113,0","1486,69","243,0","3199,3799999999997","230,0","3028,22"
65,47.11.014-9,03/08/2012,"0,0","0,0","738,0","525,95","4820,0","17043,59","4082,0","16517,64"
66,JVB-301-01,03/08/2012,"0,0","0,0","166,0","1018,69","1137,0","7389,39","971,0","6370,700000000001"
67,41.01.053-3,03/08/2012,"0,0","0,0","232,0","27,770000000000003","26270,0","3144,13","26038,0","3116,36"
68,41.02.051-2,03/08/2012,"12000,0","854,88","4464,0","321,21","70999,0","5388,48","78535,0","5922,15"
69,41.26.232-0,03/08/2012,"36,0","695,89","55,0","1062,68","296,0","5824,500000000001","277,0","5457,710000000001"
70,41.67.008-8,03/08/2012,"0,0","0,0","651,0","2174,06","4517,0","15013,179999999998","3866,0","12839,119999999999"
71,81.30.019-4,06/08/2012,"150,0","2102,63","279,0","3910,9","1771,0","24824,96","1642,0","23016,69"
72,82.10.355-4,06/08/2012,"180,0","2100,5","532,0041","6208,18","2125,8707","24711,08","1773,8665999999998","20603,4"
73,82.70.372-1,06/08/2012,"1496,0","12016,05","2471,7196000000004","19853,16","26959,3159","215797,8","25983,5963","207960,68999999997"
74,82.53.405-9,06/08/2012,"0,0","0,0","1496,286","6828,44","21483,0697","97620,35","19986,7837","90791,91"
75,82.53.475-0,06/08/2012,"4688,25","11683,59","5851,1998","14581,76","27620,4525","68222,31999999999","26457,502699999997","65324,14999999999"
76,82.60.353-0,06/08/2012,"0,0","0,0","292,0","1896,6399999999999","5489,0","35543,67999999999","5197,0","33647,03999999999"
77,82.63.660-9,06/08/2012,"3308,79","34401,6","1474,5764","15379,500000000002","2368,3877","25020,07","4202,6013","44042,17"
78,82.81.160-5,06/08/2012,"1171,5","2444,98","3197,5980000000004","6673,48","13549,592700000001","28283,74","11523,494700000001","24055,24"
79,61.21.107-1,06/08/2012,"41,0","7688,12","2,0","381,07","424,0","81502,52","463,0","88809,56999999999"
80,62.51.311-0,06/08/2012,"0,0","0,0","12,0","1207,04","1276,0","130284,62999999999","1264,0","129077,59"
81,63.41.311-9,06/08/2012,"0,0","0,0","6,0","464,03999999999996","813,0","63844,64","807,0","63380,6"
82,66.31.174-0,06/08/2012,"0,0","0,0","1,0","94,73","325,0","31514,91","324,0","31420,18"
83,69.51.202-0,06/08/2012,"0,0","0,0","12,0","3440,580000000001","307,0","88560,71","295,0","85120,13"
84,70.25.162-0,06/08/2012,"0,0","0,0","45,0","9548,43","325,0","70019,76","280,0","60471,329999999994"
85,71.15.272-3,06/08/2012,"0,0","0,0","1,0","239,41","93,0","22891,929999999997","92,0","22652,519999999997"
86,76.26.200-4,06/08/2012,"0,0","0,0","14,0","4020,4500000000003","198,0","57603,39000000001","184,0","53582,94000000001"
87,77.33.242-1,06/08/2012,"18,0","13846,52","1,0","776,55","166,0","129395,51999999999","183,0","142465,49"
88,10.01.206-6,06/08/2012,"0,0","0,0","736,152","1451,05","1723,9582000000005","3100,08","987,8062000000004","1649,03"
